word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
abalone,AE B AH L OW N IY,7,0,0.0,1.4313637641589874
abdomen,AE B D OW M AH N,7,0,0.0,2.2355284469075487
abode,AH B OW D,4,0,0.0,1.5314789170422551
absolute,AE B S AH L UW T,7,1,0.14285714285714285,2.761927838420529
absolve,AH B Z AA L V,6,1,0.16666666666666666,1.4771212547196624
absorb,AH B Z AO R B,6,1,0.16666666666666666,2.0086001717619175
abstract,AE B S T R AE K T,8,1,0.125,2.0492180226701815
academy,AH K AE D AH M IY,7,0,0.0,2.802089257881733
accessory,AE K S EH S ER IY,7,2,0.2857142857142857,2.1702617153949575
accompany,AH K AH M P AH N IY,8,0,0.0,2.385606273598312
accordion,AH K AO R D IY AH N,8,0,0.0,1.8325089127062364
account,AH K AW N T,5,0,0.0,3.3581252852766488
accountability,AH K AW N T AH B IH L IH T IY,12,0,0.0,1.3979400086720377
accountant,AH K AW N T AH N T,8,0,0.0,2.499687082618404
acquisition,AE K W AH Z IH SH AH N,9,2,0.2222222222222222,1.8750612633917
acreage,EY K ER IH JH,5,1,0.2,1.3617278360175928
adequate,AE D AH K W AH T,7,0,0.0,2.123851640967086
adhere,AH D HH IH R,5,0,0.0,1.4771212547196624
adjacent,AH JH EY S AH N T,7,2,0.2857142857142857,1.8388490907372552
adjoining,AH JH OY N IH NG,6,1,0.16666666666666666,1.7634279935629373
adjourn,AH JH ER N,4,1,0.25,1.8260748027008264
administrative,AH D M IH N AH S T R EY T IH V,13,1,0.07692307692307693,1.919078092376074
admiral,AE D M ER AH L,6,0,0.0,2.9273703630390235
admissible,AH D M IH S AH B AH L,9,1,0.1111111111111111,1.5797835966168101
ado,AH D UW,3,0,0.0,1.8920946026904804
adobe,AH D OW B IY,5,0,0.0,1.3979400086720377
adolescent,AE D AH L EH S AH N T,9,1,0.1111111111111111,1.9777236052888478
adulthood,AH D AH L T HH UH D,8,0,0.0,1.5797835966168101
adversary,AE D V ER S EH R IY,8,1,0.125,1.8920946026904804
advertise,AE D V ER T AY Z,7,1,0.14285714285714285,1.9294189257142926
advertising,AE D V ER T AY Z IH NG,9,1,0.1111111111111111,2.57978359661681
advise,AE D V AY Z,5,1,0.2,2.7944880466591697
advisement,AH D V AY Z M AH N T,9,1,0.1111111111111111,1.6020599913279623
advisor,AE D V AY Z ER,6,1,0.16666666666666666,2.3541084391474008
advisory,AE D V AY Z ER IY,7,1,0.14285714285714285,1.7160033436347992
aesthetic,EH S TH EH T IH K,7,1,0.14285714285714285,1.5440680443502757
affiliation,AH F IH L IY EY SH AH N,9,1,0.1111111111111111,1.414973347970818
aforementioned,AH F AO R M EH N SH AH N D,11,1,0.09090909090909091,1.3979400086720377
agency,EY JH AH N S IY,6,2,0.3333333333333333,2.9965116721541785
agenda,AH JH EH N D AH,6,1,0.16666666666666666,2.5728716022004803
agent,EY JH AH N T,5,1,0.2,3.718999637878718
agricultural,AE G R AH K AH L CH ER AH L,11,1,0.09090909090909091,1.6901960800285136
airbag,EH R B AE G,5,0,0.0,1.3222192947339193
airborne,EH R B AO R N,6,0,0.0,2.3344537511509307
airline,EH R L AY N,5,0,0.0,2.5211380837040362
airlock,EH R L AO K,5,0,0.0,1.6334684555795864
airspace,EH R S P EY S,6,2,0.3333333333333333,1.919078092376074
airspeed,EH R S P IY D,6,1,0.16666666666666666,1.3979400086720377
airstrip,EH R S T R IH P,7,1,0.14285714285714285,1.7634279935629373
airtight,EH R T AY T,5,0,0.0,1.7634279935629373
airway,EH R W EY,4,0,0.0,1.9242792860618816
aisle,AY L,2,0,0.0,2.57978359661681
ajar,AH JH AA R,4,1,0.25,1.380211241711606
aka,AA K AH,3,0,0.0,1.724275869600789
alabaster,AE L AH B AE S T ER,8,1,0.125,1.5440680443502757
albino,AE L B AY N OW,6,0,0.0,1.7781512503836436
alcove,AE L K OW V,5,0,0.0,1.3979400086720377
alfalfa,AE L F AE L F AH,7,0,0.0,1.5314789170422551
algorithm,AE L G ER IH DH AH M,8,0,0.0,1.4471580313422192
allegro,AH L EH G R OW,6,0,0.0,1.4313637641589874
alloy,AE L OY,3,0,0.0,1.724275869600789
aloof,AH L UW F,4,0,0.0,1.5314789170422551
alpha,AE L F AH,4,0,0.0,2.6180480967120925
alter,AO L T ER,4,0,0.0,2.3891660843645326
alteration,AO L T ER EY SH AH N,8,1,0.125,1.568201724066995
alternate,AO L T ER N AH T,7,0,0.0,2.2576785748691846
alternating,AO L T ER N EY T IH NG,9,0,0.0,1.3424226808222062
alternative,AO L T ER N AH T IH V,9,0,0.0,2.678518379040114
altimeter,AE L T IH M AH T ER,8,0,0.0,1.380211241711606
altitude,AE L T AH T UW D,7,0,0.0,2.298853076409707
aluminum,AH L UW M AH N AH M,8,0,0.0,2.0644579892269186
alumnus,AH L AH M N AH S,7,1,0.14285714285714285,1.3979400086720377
amateur,AE M AH T ER,5,0,0.0,2.525044807036845
ambassador,AE M B AE S AH D ER,8,1,0.125,2.838849090737255
ambiguous,AE M B IH G Y UW AH S,9,1,0.1111111111111111,1.5797835966168101
amnesty,AE M N AH S T IY,7,1,0.14285714285714285,1.8388490907372552
amount,AH M AW N T,5,0,0.0,3.101403350555331
amphibian,AE M F IH B IY AH N,8,0,0.0,1.3222192947339193
analogy,AH N AE L AH JH IY,7,1,0.14285714285714285,1.7708520116421442
analysis,AH N AE L AH S AH S,8,2,0.25,2.751279103983342
analyst,AE N AH L AH S T,7,1,0.14285714285714285,2.250420002308894
analyzer,AE N AH L AY Z ER,7,1,0.14285714285714285,1.4313637641589874
anchor,AE NG K ER,4,0,0.0,2.578639209968072
anchorage,AE NG K ER AH JH,6,1,0.16666666666666666,1.568201724066995
anesthesia,AE N IH S TH IY ZH AH,8,2,0.25,2.0086001717619175
anesthesiologist,AE N AH S TH IY Z IY AA L AH JH AH S T,15,4,0.26666666666666666,1.4471580313422192
anesthetic,AE N AH S TH EH T IH K,9,1,0.1111111111111111,1.8388490907372552
angle,AE NG G AH L,5,0,0.0,2.8819549713396007
ankle,AE NG K AH L,5,0,0.0,2.6127838567197355
anklet,AE NG K L IH T,6,0,0.0,1.3424226808222062
annals,AE N AH L Z,5,1,0.2,1.5314789170422551
annual,AE N Y UW AH L,6,0,0.0,2.5658478186735176
anointed,AH N OY N T AH D,7,0,0.0,1.591064607026499
anomaly,AH N AA M AH L IY,7,0,0.0,1.806179973983887
anonymity,AE N AH N IH M IH T IY,9,0,0.0,1.6720978579357175
antenna,AE N T EH N AH,6,0,0.0,2.089905111439398
anterior,AE N T IH R IY ER,7,0,0.0,1.6901960800285136
anthropology,AE N TH R AH P AA L AH JH IY,11,1,0.09090909090909091,1.8325089127062364
antibiotics,AE N T IY B IY AA T IH K S,11,1,0.09090909090909091,2.27415784926368
antiseptic,AE N T AH S EH P T IH K,10,1,0.1,1.6532125137753437
anvil,AE N V AH L,5,0,0.0,1.5185139398778875
apache,AH P AE CH IY,5,1,0.2,2.401400540781544
apartments,AH P AA R T M AH N T S,10,1,0.1,2.3344537511509307
ape,EY P,2,0,0.0,2.693726948923647
apologize,AH P AA L AH JH AY Z,8,2,0.25,3.401228167498113
apostle,AH P AA S AH L,6,1,0.16666666666666666,1.8573324964312685
apothecary,AH P AA TH AH K EH R IY,9,0,0.0,1.3222192947339193
apparatus,AE P ER AE T AH S,7,1,0.14285714285714285,1.8920946026904804
apparel,AH P AE R AH L,6,0,0.0,1.5563025007672873
apparent,AH P EH R AH N T,7,0,0.0,2.3344537511509307
appear,AH P IH R,4,0,0.0,3.076640443670342
appendix,AH P EH N D IH K S,8,1,0.125,2.1271047983648077
appliance,AH P L AY AH N S,7,1,0.14285714285714285,1.6232492903979006
applicant,AE P L IH K AH N T,8,0,0.0,1.505149978319906
apply,AH P L AY,4,0,0.0,2.8055008581584002
appraisal,AH P R EY Z AH L,7,1,0.14285714285714285,1.6020599913279623
approach,AH P R OW CH,5,1,0.2,3.029789470831856
approximate,AH P R AA K S AH M AH T,10,1,0.1,1.8129133566428555
arcane,AA R K EY N,5,0,0.0,1.3424226808222062
archaeologist,AA R K IY AA L AH JH IH S T,11,2,0.18181818181818182,1.7634279935629373
archaic,AA R K EY IH K,6,0,0.0,1.5563025007672873
archbishop,AA R CH B IH SH AH P,8,2,0.25,2.2764618041732443
archery,AA R CH ER IY,5,1,0.2,1.6127838567197355
archive,AA R K AY V,5,0,0.0,1.8325089127062364
aristocracy,EH R AH S T AA K R AH S IY,11,2,0.18181818181818182,1.5185139398778875
arithmetic,EH R IH TH M EH T IH K,9,0,0.0,1.8976270912904414
arm,AA R M,3,0,0.0,3.5233562066547925
armada,AA R M AA D AH,6,0,0.0,1.7481880270062005
armory,AA R M ER IY,5,0,0.0,1.9822712330395684
army,AA R M IY,4,0,0.0,3.6405808064896528
arrange,ER EY N JH,4,1,0.25,2.8987251815894934
arrow,AE R OW,3,0,0.0,2.603144372620182
artichoke,AA R T AH CH OW K,7,1,0.14285714285714285,1.462397997898956
ascendant,AH S EH N D AH N T,8,1,0.125,1.5440680443502757
ascending,AH S EH N D IH NG,7,1,0.14285714285714285,1.5563025007672873
ascertain,AE S ER T EY N,6,1,0.16666666666666666,1.6989700043360187
asparagus,AH S P EH R AH G AH S,9,2,0.2222222222222222,1.7075701760979363
aspect,AE S P EH K T,6,1,0.16666666666666666,2.296665190261531
aspirin,AE S P R IH N,6,1,0.16666666666666666,2.597695185925512
assemble,AH S EH M B AH L,7,1,0.14285714285714285,2.214843848047698
assembly,AH S EH M B L IY,7,1,0.14285714285714285,2.3909351071033793
assemblyman,AH S EH M B L IY M AE N,10,1,0.1,1.5797835966168101
assessment,AH S EH S M AH N T,8,2,0.25,2.2013971243204513
assign,AH S AY N,4,1,0.25,2.143014800254095
assignment,AH S AY N M AH N T,8,1,0.125,2.960470777534299
assimilate,AH S IH M AH L EY T,8,1,0.125,1.4313637641589874
associate,AH S OW S IY AH T,7,2,0.2857142857142857,2.661812685537261
association,AH S OW S IY EY SH AH N,9,3,0.3333333333333333,2.6180480967120925
asterisk,AE S T ER IH S K,7,2,0.2857142857142857,1.380211241711606
astrology,AH S T R AA L AH JH IY,9,2,0.2222222222222222,1.6812412373755872
atoll,AE T AA L,4,0,0.0,1.4471580313422192
attach,AH T AE CH,4,1,0.25,2.103803720955957
attempted,AH T EH M P T AH D,8,0,0.0,2.5943925503754266
attend,AH T EH N D,5,0,0.0,2.8549130223078554
attest,AH T EH S T,5,1,0.2,1.3617278360175928
attic,AE T IH K,4,0,0.0,2.603144372620182
auctioneer,AA K SH AH N IH R,7,1,0.14285714285714285,1.3979400086720377
audacious,AA D EY SH AH S,6,2,0.3333333333333333,1.4313637641589874
audacity,AA D AE S AH T IY,7,1,0.14285714285714285,1.6901960800285136
audition,AA D IH SH AH N,6,1,0.16666666666666666,2.8488047010518036
auspicious,AA S P IH SH AH S,7,3,0.42857142857142855,1.4313637641589874
authenticate,AO TH EH N T AH K EY T,9,0,0.0,1.505149978319906
autobiographical,AO T AH B AY AH G R AE F IH K AH L,14,0,0.0,1.3617278360175928
automated,AO T AH M EY T IH D,8,0,0.0,1.8692317197309762
automobile,AO T AH M OW B IY L,8,0,0.0,2.4653828514484184
autonomy,AO T AA N AH M IY,7,0,0.0,1.4471580313422192
auxiliary,AA G Z IH L Y ER IY,8,1,0.125,2.041392685158225
avail,AH V EY L,4,0,0.0,1.6434526764861874
average,AE V ER IH JH,5,1,0.2,2.929418925714293
avert,AH V ER T,4,0,0.0,1.4913616938342726
await,AH W EY T,4,0,0.0,2.2600713879850747
axle,AE K S AH L,5,1,0.2,1.806179973983887
babble,B AE B AH L,5,0,0.0,1.6532125137753437
babysit,B EY B IY S IH T,7,1,0.14285714285714285,2.0211892990699383
back,B AE K,3,0,0.0,5.010588259604198
backboard,B AE K B AO D,6,0,0.0,1.3979400086720377
backbone,B AE K B OW N,6,0,0.0,1.9294189257142926
backdoor,B AE K D AO R,6,0,0.0,1.4913616938342726
backdrop,B AE K D R AA P,7,0,0.0,1.3979400086720377
backer,B AE K ER,4,0,0.0,1.7403626894942439
background,B AE K G R AW N D,8,0,0.0,2.9542425094393248
backroom,B AE K R UW M,6,0,0.0,1.4313637641589874
backseat,B AE K S IY T,6,1,0.16666666666666666,2.0718820073061255
backside,B AE K S AY D,6,1,0.16666666666666666,1.9344984512435677
backwoods,B AE K W UH D Z,7,1,0.14285714285714285,1.4471580313422192
badge,B AE JH,3,1,0.3333333333333333,2.8915374576725643
badger,B AE JH ER,4,1,0.25,1.954242509439325
bag,B AE G,3,0,0.0,3.680969718465897
baggage,B AE G AH JH,5,1,0.2,2.503790683057181
baggie,B AE G IY,4,0,0.0,1.3424226808222062
bagman,B AE G M AH N,6,0,0.0,1.4771212547196624
bale,B EY L,3,0,0.0,2.0211892990699383
ballast,B AE L AH S T,6,1,0.16666666666666666,1.7853298350107671
ballistic,B AH L IH S T IH K,8,1,0.125,1.7781512503836436
ballot,B AE L AH T,5,0,0.0,1.845098040014257
ballpark,B AO L P AA R K,7,0,0.0,1.954242509439325
ballplayer,B AO L P L EY ER,7,0,0.0,1.5185139398778875
ballpoint,B AO L P OY N T,7,0,0.0,1.3222192947339193
balmy,B AA M IY,4,0,0.0,1.4771212547196624
bam,B AE M,3,0,0.0,2.558708570533166
bandwidth,B AE N D W IH D TH,8,0,0.0,1.414973347970818
banister,B AE N IH S T ER,7,1,0.14285714285714285,1.8325089127062364
banker,B AE NG K ER,5,0,0.0,2.387389826338729
banking,B AE NG K IH NG,6,0,0.0,2.184691430817599
banner,B AE N ER,4,0,0.0,2.481442628502305
banter,B AE N T ER,5,0,0.0,1.8512583487190752
barber,B AA R B ER,5,0,0.0,2.4471580313422194
barbershop,B AA R B ER SH AA P,8,1,0.125,2.037426497940624
bargaining,B AA R G IH N IH NG,8,0,0.0,2.0293837776852097
barge,B AA R JH,4,1,0.25,2.298853076409707
barium,B EH R IY AH M,6,0,0.0,1.380211241711606
bark,B AA R K,4,0,0.0,2.44870631990508
barley,B AA R L IY,5,0,0.0,1.6720978579357175
barnacle,B AA R N AH K AH L,8,0,0.0,1.5185139398778875
barometer,B ER AA M IH T ER,7,0,0.0,1.568201724066995
baroness,B EH R AH N IH S,7,1,0.14285714285714285,2.130333768495006
barrel,B AE R AH L,5,0,0.0,2.734799829588847
barrister,B AE R IH S T ER,7,1,0.14285714285714285,1.6232492903979006
baseline,B EY S L AY N,6,1,0.16666666666666666,1.591064607026499
baseman,B EY S M AH N,6,1,0.16666666666666666,1.4913616938342726
basement,B EY S M AH N T,7,1,0.14285714285714285,3.031408464251624
basic,B EY S IH K,5,1,0.2,2.9003671286564705
basin,B EY S AH N,5,1,0.2,1.9867717342662448
basis,B EY S AH S,5,2,0.4,2.785329835010767
bathroom,B AE TH R UW M,6,0,0.0,3.497758718287268
baton,B AH T AA N,5,0,0.0,2.164352855784437
batter,B AE T ER,4,0,0.0,2.3096301674258988
bayonet,B EY AH N EH T,6,0,0.0,1.9084850188786497
beady,B IY D IY,4,0,0.0,1.568201724066995
beak,B IY K,3,0,0.0,2.03342375548695
beaker,B IY K ER,4,0,0.0,1.3617278360175928
beard,B IH R D,4,0,0.0,2.808885867359812
bearings,B EH R IH NG Z,6,1,0.16666666666666666,1.9344984512435677
beaver,B IY V ER,4,0,0.0,2.392696953259666
bedding,B EH D IH NG,5,0,0.0,1.591064607026499
beep,B IY P,3,0,0.0,2.5224442335063197
beeper,B IY P ER,4,0,0.0,2.161368002234975
beginner,B IH G IH N ER,6,0,0.0,2.0
behavior,B IH HH EY V Y ER,7,0,0.0,3.0580462303952816
behavioral,B IH HH EY V Y ER AH L,9,0,0.0,1.9030899869919435
beholden,B IH HH OW L D AH N,8,0,0.0,1.505149978319906
beige,B EY ZH,3,1,0.3333333333333333,1.845098040014257
bellhop,B EH L HH AA P,6,0,0.0,1.5440680443502757
bellman,B EH L M AH N,6,0,0.0,1.7481880270062005
beluga,B IH L UW G AH,6,0,0.0,1.462397997898956
bench,B EH N CH,4,1,0.25,2.693726948923647
benzene,B EH N Z IY N,6,1,0.16666666666666666,1.3617278360175928
bequeath,B IH K W IY TH,6,0,0.0,1.6434526764861874
beret,B EH R AH T,5,0,0.0,1.6901960800285136
berth,B ER TH,3,0,0.0,1.6127838567197355
bicarbonate,B AY K AA R B AH N AH T,10,0,0.0,1.5797835966168101
bid,B IH D,3,0,0.0,2.808210972924222
bidder,B IH D ER,4,0,0.0,1.9493900066449128
bide,B AY D,3,0,0.0,1.462397997898956
biggie,B IH G IY,4,0,0.0,2.0253058652647704
biker,B AY K ER,4,0,0.0,1.9030899869919435
bilateral,B AY L AE T ER AH L,8,0,0.0,1.4913616938342726
bin,B IH N,3,0,0.0,2.439332693830263
binary,B AY N ER IY,5,0,0.0,1.591064607026499
binder,B AY N D ER,5,0,0.0,1.6020599913279623
bio,B AY OW,3,0,0.0,1.9493900066449128
biochemist,B AY OW K EH M AH S T,9,1,0.1111111111111111,1.3424226808222062
biochemistry,B AY OW K EH M AH S T R IY,11,1,0.09090909090909091,1.4771212547196624
biography,B AY AA G R AH F IY,8,0,0.0,1.8808135922807914
birdcage,B ER D K EY JH,6,1,0.16666666666666666,1.3979400086720377
birdman,B ER D M AE N,6,0,0.0,1.6532125137753437
birthmark,B ER TH M AA R K,7,0,0.0,1.9344984512435677
bishop,B IH SH AH P,5,1,0.2,2.932473764677153
bisque,B IH S K,4,1,0.25,1.3222192947339193
bit,B IH T,3,0,0.0,4.078746734273607
bitsy,B IH T S IY,5,1,0.2,1.662757831681574
bittersweet,B IH T ER S W IY T,8,1,0.125,1.380211241711606
bitty,B IH T IY,4,0,0.0,1.9637878273455553
biz,B IH Z,3,1,0.3333333333333333,1.9822712330395684
black,B L AE K,4,0,0.0,3.9327780700605506
blackboard,B L AE K B AO R D,8,0,0.0,1.7853298350107671
bladder,B L AE D ER,5,0,0.0,2.307496037913213
blameless,B L EY M L AH S,7,1,0.14285714285714285,1.3424226808222062
blank,B L AE NG K,5,0,0.0,2.6954816764901977
blazer,B L EY Z ER,5,1,0.2,1.7993405494535817
blender,B L EH N D ER,6,0,0.0,1.9344984512435677
bleu,B L UW,3,0,0.0,1.5563025007672873
blimp,B L IH M P,5,0,0.0,1.7323937598229686
blindfold,B L AY N D F OW L D,9,0,0.0,1.9493900066449128
blink,B L IH NG K,5,0,0.0,2.413299764081252
blip,B L IH P,4,0,0.0,1.6232492903979006
blockhead,B L AA K HH EH D,7,0,0.0,1.6232492903979006
bloke,B L OW K,4,0,0.0,2.3783979009481375
bloodstream,B L AH D S T R IY M,9,1,0.1111111111111111,1.9493900066449128
blotter,B L AA T ER,5,0,0.0,1.4471580313422192
blowfish,B L OW F IH SH,6,1,0.16666666666666666,1.505149978319906
blueprint,B L UW P R IH N T,8,0,0.0,1.806179973983887
bluff,B L AH F,4,0,0.0,2.5024271199844326
boar,B AO R,3,0,0.0,2.0492180226701815
board,B AO R D,4,0,0.0,3.5149460053080044
boarder,B AO R D ER,5,0,0.0,1.4771212547196624
boarding,B AO R D IH NG,6,0,0.0,2.7520484478194387
boatload,B OW T L OW D,6,0,0.0,1.3979400086720377
boatman,B OW T M AH N,6,0,0.0,1.4913616938342726
bode,B OW D,3,0,0.0,1.3979400086720377
bodega,B OW D EY G AH,6,0,0.0,1.8325089127062364
bodily,B AA D AH L IY,6,0,0.0,2.037426497940624
bombardier,B AA M B ER D IH R,8,0,0.0,1.5563025007672873
bonnet,B AA N AH T,5,0,0.0,1.9822712330395684
bonny,B AA N IY,4,0,0.0,1.9822712330395684
bookie,B UH K IY,4,0,0.0,2.1172712956557644
bookkeeping,B UH K K IY P IH NG,8,0,0.0,1.591064607026499
boon,B UW N,3,0,0.0,2.037426497940624
booster,B UW S T ER,5,1,0.2,2.1335389083702174
boot,B UW T,3,0,0.0,2.7551122663950713
booth,B UW TH,3,0,0.0,3.0170333392987803
bopper,B AA P ER,4,0,0.0,1.414973347970818
border,B AO R D ER,5,0,0.0,2.9429995933660407
borough,B ER OW,3,0,0.0,1.7853298350107671
boss,B AA S,3,1,0.3333333333333333,3.802089257881733
bottle,B AA T AH L,5,0,0.0,3.413132050434872
bottleneck,B AA T AH L N EH K,8,0,0.0,1.4313637641589874
bottling,B AA T AH L IH NG,7,0,0.0,1.591064607026499
boundary,B AW N D ER IY,6,0,0.0,1.845098040014257
bow,B AW,2,0,0.0,3.0149403497929366
bowler,B OW L ER,4,0,0.0,1.8325089127062364
box,B AA K S,4,1,0.25,3.660675788338524
boxcar,B AA K S K AA R,7,1,0.14285714285714285,1.5314789170422551
boxer,B AA K S ER,5,1,0.2,2.294466226161593
boyhood,B OY HH UH D,5,0,0.0,1.505149978319906
brace,B R EY S,4,1,0.25,2.505149978319906
bracket,B R AE K IH T,6,0,0.0,1.5185139398778875
brake,B R EY K,4,0,0.0,2.48572142648158
bran,B R AE N,4,0,0.0,1.8325089127062364
branch,B R AE N CH,5,1,0.2,2.711807229041191
brand,B R AE N D,5,0,0.0,2.8530895298518657
brass,B R AE S,4,1,0.25,2.791690649020118
breadth,B R EH D TH,5,0,0.0,1.3617278360175928
breeder,B R IY D ER,5,0,0.0,1.6127838567197355
brew,B R UW,3,0,0.0,2.110589710299249
briar,B R AY ER,4,0,0.0,1.6020599913279623
brick,B R IH K,4,0,0.0,2.716003343634799
bridge,B R IH JH,4,1,0.25,3.3677285460869766
briefcase,B R IY F K EY S,7,1,0.14285714285714285,2.6424645202421213
briefing,B R IY F IH NG,6,0,0.0,2.369215857410143
brim,B R IH M,4,0,0.0,1.662757831681574
brink,B R IH NG K,5,0,0.0,2.1072099696478683
bro,B R OW,3,0,0.0,3.104145550554008
broad,B R AO D,4,0,0.0,2.876217840591642
broadcast,B R AO D K AE S T,8,1,0.125,2.660865478003869
broadcasting,B R AO D K AE S T IH NG,10,1,0.1,2.214843848047698
brochure,B R OW SH UH R,6,1,0.16666666666666666,1.9912260756924949
brokerage,B R OW K ER IH JH,7,1,0.14285714285714285,1.462397997898956
brooch,B R UW CH,4,1,0.25,1.8325089127062364
brood,B R UW D,4,0,0.0,1.7481880270062005
broom,B R UW M,4,0,0.0,2.387389826338729
broomstick,B R UW M S T IH K,8,1,0.125,1.6434526764861874
brow,B R AW,3,0,0.0,1.9777236052888478
brownstone,B R AW N S T OW N,8,1,0.125,1.414973347970818
browse,B R AW Z,4,1,0.25,1.4913616938342726
brush,B R AH SH,4,1,0.25,2.859138297294531
bucket,B AH K AH T,5,0,0.0,2.709269960975831
buckle,B AH K AH L,5,0,0.0,2.41161970596323
bucko,B AH K OW,4,0,0.0,1.5185139398778875
buckwheat,B AH K W IY T,6,0,0.0,1.3979400086720377
budge,B AH JH,3,1,0.3333333333333333,2.0211892990699383
budget,B AH JH IH T,5,1,0.2,2.710963118995276
buffer,B AH F ER,4,0,0.0,1.9344984512435677
buggy,B AH G IY,4,0,0.0,2.1072099696478683
bugle,B Y UW G AH L,6,0,0.0,1.9493900066449128
building,B IH L D IH NG,6,0,0.0,3.705778212828598
buildup,B IH L D AH P,6,0,0.0,1.7781512503836436
bulk,B AH L K,4,0,0.0,1.9912260756924949
bulkhead,B AH L K HH EH D,7,0,0.0,1.6901960800285136
bulldog,B UH L D AO G,6,0,0.0,2.367355921026019
bulldozer,B UH L D OW Z ER,7,1,0.14285714285714285,1.8260748027008264
bullfrog,B UH L F R AO G,7,0,0.0,1.4313637641589874
bumper,B AH M P ER,5,0,0.0,2.2600713879850747
bun,B AH N,3,0,0.0,2.1702617153949575
bundle,B AH N D AH L,6,0,0.0,2.3010299956639813
bunk,B AH NG K,4,0,0.0,2.506505032404872
bunker,B AH NG K ER,5,0,0.0,2.380211241711606
bureau,B Y UH R OW,5,0,0.0,2.7551122663950713
burro,B ER OW,3,0,0.0,1.6720978579357175
bus,B AH S,3,1,0.3333333333333333,3.5779511277297553
busboy,B AH S B OY,5,1,0.2,1.9395192526186185
bush,B UH SH,3,1,0.3333333333333333,2.857935264719429
bushy,B UH SH IY,4,1,0.25,1.414973347970818
business,B IH Z N AH S,6,2,0.3333333333333333,4.214101735973232
businessman,B IH Z N AH S M AE N,9,2,0.2222222222222222,2.6074550232146687
busload,B AH S L OW D,6,1,0.16666666666666666,1.3979400086720377
buster,B AH S T ER,5,1,0.2,2.9159272116971158
bustle,B AH S AH L,5,1,0.2,1.6334684555795864
button,B AH T AH N,5,0,0.0,3.15896526038341
byline,B AY L AY N,5,0,0.0,1.3222192947339193
bystander,B AY S T AE N D ER,8,1,0.125,1.662757831681574
byzantine,B IH Z AH N T AY N,8,1,0.125,1.3617278360175928
cab,K AE B,3,0,0.0,3.2617385473525378
cabbage,K AE B AH JH,5,1,0.2,2.173186268412274
cabbie,K AE B IY,4,0,0.0,1.8573324964312685
cabinet,K AE B AH N AH T,7,0,0.0,2.629409599102719
caboodle,K AH B UW D AH L,7,0,0.0,1.5440680443502757
cache,K AE SH,3,1,0.3333333333333333,1.505149978319906
cactus,K AE K T AH S,6,1,0.16666666666666666,2.173186268412274
cadet,K AH D EH T,5,0,0.0,2.247973266361807
cahoots,K AH HH UW T S,6,1,0.16666666666666666,1.5185139398778875
calculate,K AE L K Y AH L EY T,9,0,0.0,2.0293837776852097
calculation,K AE L K Y AH L EY SH AH N,11,1,0.09090909090909091,1.5185139398778875
calf,K AE F,3,0,0.0,2.1818435879447726
caliber,K AE L AH B ER,6,0,0.0,2.146128035678238
calisthenics,K AE L AH S TH EH N IH K S,11,2,0.18181818181818182,1.4471580313422192
camel,K AE M AH L,5,0,0.0,2.4099331233312946
cameraman,K AE M ER AH M AH N,8,0,0.0,2.0453229787866576
campaign,K AE M P EY N,6,0,0.0,2.932980821923198
candidacy,K AE N D IH D AH S IY,9,1,0.1111111111111111,1.5185139398778875
cane,K EY N,3,0,0.0,2.629409599102719
canister,K AE N AH S T ER,7,1,0.14285714285714285,1.8692317197309762
cannonball,K AE N AH N B AO L,8,0,0.0,1.8692317197309762
canteen,K AE N T IY N,6,0,0.0,1.9444826721501687
canvass,K AE N V AH S,6,1,0.16666666666666666,1.6989700043360187
canyon,K AE N Y AH N,6,0,0.0,2.622214022966295
cap,K AE P,3,0,0.0,2.9809119377768436
capacity,K AH P AE S AH T IY,8,1,0.125,2.617000341120899
caper,K EY P ER,4,0,0.0,1.9590413923210936
capital,K AE P AH T AH L,7,0,0.0,2.812244696800369
capitalist,K AE P AH T AH L AH S T,10,1,0.1,1.8976270912904414
capricious,K AH P R IH SH AH S,8,2,0.25,1.3424226808222062
carbon,K AA R B AH N,6,0,0.0,2.428134794028789
card,K AA R D,4,0,0.0,3.6392872259102367
cardboard,K AA R D B AO R D,8,0,0.0,2.143014800254095
cardiology,K AA R D IY AA L AH JH IY,10,1,0.1,1.3222192947339193
cargo,K AA R G OW,5,0,0.0,2.662757831681574
carnivorous,K AA R N IH V ER AH S,9,1,0.1111111111111111,1.4313637641589874
carp,K AA R P,4,0,0.0,1.6020599913279623
carpentry,K AA R P AH N T R IY,9,0,0.0,1.380211241711606
carpeting,K AA R P AH T IH NG,8,0,0.0,1.4771212547196624
carpool,K AA R P UW L,6,0,0.0,1.568201724066995
carrier,K AE R IY ER,5,0,0.0,2.514547752660286
cart,K AA R T,4,0,0.0,2.6646419755561257
carte,K AA R T,4,0,0.0,1.7853298350107671
carton,K AA R T AH N,6,0,0.0,1.9867717342662448
cartridge,K AA R T R AH JH,7,1,0.14285714285714285,1.6989700043360187
carve,K AA R V,4,0,0.0,2.2013971243204513
case,K EY S,3,1,0.3333333333333333,4.158483112699248
cashier,K AE SH IH R,5,1,0.2,2.225309281725863
cassette,K AH S EH T,5,1,0.2,1.9731278535996986
cast,K AE S T,4,1,0.25,3.072249897613515
catalogue,K AE T AH L AO G,7,0,0.0,2.037426497940624
