word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
invoice,IH N V OY S,5,1,0.2,1.7323937598229686
involve,IH N V AA L V,6,0,0.0,2.519827993775719
iodine,AY AH D AY N,5,0,0.0,1.8129133566428555
ion,AY AH N,3,0,0.0,1.3222192947339193
iota,AY OW T AH,4,0,0.0,1.380211241711606
iron,AY ER N,3,0,0.0,2.9618954736678504
ironclad,AY ER N K L AE D,7,0,0.0,1.4313637641589874
ironic,AY R AA N IH K,6,0,0.0,2.4955443375464483
irony,AY R AH N IY,5,0,0.0,2.369215857410143
irrigate,IH R AH G EY T,6,0,0.0,1.505149978319906
isotope,AY S AH T OW P,6,1,0.16666666666666666,1.414973347970818
item,AY T AH M,4,0,0.0,2.798650645445269
ivory,AY V ER IY,4,0,0.0,1.8573324964312685
jalopy,JH AH L AA P IY,6,1,0.16666666666666666,1.568201724066995
jammer,JH AE M ER,4,1,0.25,1.414973347970818
janitor,JH AE N AH T ER,6,1,0.16666666666666666,2.4668676203541096
janitorial,JH AE N IH T AO R IY AH L,10,1,0.1,1.3617278360175928
jargon,JH AA R G AH N,6,1,0.16666666666666666,1.505149978319906
javelin,JH AE V AH L AH N,7,1,0.14285714285714285,1.3979400086720377
jawbone,JH AO B OW N,5,1,0.2,1.3424226808222062
jeans,JH IY N Z,4,2,0.5,2.5289167002776547
jellyfish,JH EH L IY F IH SH,7,2,0.2857142857142857,1.8750612633917
jerky,JH ER K IY,4,1,0.25,2.0681858617461617
jigsaw,JH IH G S AO,5,2,0.4,1.9822712330395684
jingle,JH IH NG G AH L,6,1,0.16666666666666666,2.413299764081252
jogger,JH AA G ER,4,1,0.25,1.3979400086720377
jot,JH AA T,3,1,0.3333333333333333,1.5797835966168101
journalism,JH ER N AH L IH Z AH M,9,2,0.2222222222222222,2.292256071356476
journalist,JH ER N AH L AH S T,8,2,0.25,2.494154594018443
judgment,JH AH JH M AH N T,7,2,0.2857142857142857,2.9242792860618816
jug,JH AH G,3,1,0.3333333333333333,2.130333768495006
juju,JH UW JH UW,4,2,0.5,1.4913616938342726
juke,JH UW K,3,1,0.3333333333333333,1.3979400086720377
jumbo,JH AH M B OW,5,1,0.2,2.161368002234975
jumper,JH AH M P ER,5,1,0.2,2.0718820073061255
jumpsuit,JH AH M P S UW T,7,2,0.2857142857142857,1.568201724066995
